M.L_b.CO2aq Time [a],M.L_b.CO2aq CO2aq [mol/kg]
298900.0,8.636960663140898e-06
299000.0,8.6369606631409e-06
299100.0,8.636960663140896e-06
299200.0,8.636960663140903e-06
299300.0,8.636960663140896e-06
299400.0,8.636960663140898e-06
299500.0,8.636960663140898e-06
299600.0,8.636960663140898e-06
299700.0,8.636960663140896e-06
299800.0,8.636960663140901e-06
299900.0,8.6369606631409e-06
300000.0,8.636960663140901e-06
300100.0,8.6369606631409e-06
300200.0,8.636960663140901e-06
300300.0,8.636960663140898e-06
300400.0,8.6369606631409e-06
300500.0,8.636960663140898e-06
300600.0,8.636960663140901e-06
300700.0,8.6369606631409e-06
300800.0,8.6369606631409e-06
300900.0,8.636960663140896e-06
301000.0,8.636960663140901e-06
301100.0,8.636960663140901e-06
301200.0,8.6369606631409e-06
301300.0,8.636960663140898e-06
301400.0,8.6369606631409e-06
301500.0,8.636960663140896e-06
301600.0,8.6369606631409e-06
301700.0,8.636960663140894e-06
301800.0,8.636960663140898e-06
301900.0,8.636960663140896e-06
302000.0,8.6369606631409e-06
302100.0,8.6369606631409e-06
302200.0,8.636960663140901e-06
302300.0,8.636960663140898e-06
302400.0,8.636960663140903e-06
302500.0,8.636960663140898e-06
302600.0,8.6369606631409e-06
302700.0,8.6369606631409e-06
302800.0,8.636960663140898e-06
302900.0,8.636960663140896e-06
303000.0,8.6369606631409e-06
303100.0,8.636960663140903e-06
303200.0,8.636960663140898e-06
303300.0,8.6369606631409e-06
303400.0,8.636960663140903e-06
303500.0,8.6369606631409e-06
303600.0,8.636960663140901e-06
303700.0,8.636960663140898e-06
303800.0,8.636960663140901e-06
303900.0,8.636960663140898e-06
304000.0,8.636960663140903e-06
304100.0,8.636960663140898e-06
304200.0,8.636960663140901e-06
304300.0,8.6369606631409e-06
304400.0,8.636960663140901e-06
304500.0,8.636960663140898e-06
304600.0,8.636960663140905e-06
304700.0,8.636960663140903e-06
304800.0,8.636960663140906e-06
304900.0,8.6369606631409e-06
305000.0,8.636960663140903e-06
305100.0,8.6369606631409e-06
305200.0,8.636960663140901e-06
305300.0,8.636960663140896e-06
305400.0,8.636960663140898e-06
305500.0,8.636960663140896e-06
305600.0,8.6369606631409e-06
305700.0,8.636960663140894e-06
305800.0,8.636960663140894e-06
305900.0,8.636960663140898e-06
306000.0,8.636960663140903e-06
306100.0,8.636960663140898e-06
306200.0,8.636960663140901e-06
306300.0,8.636960663140898e-06
306400.0,8.6369606631409e-06
306500.0,8.636960663140903e-06
306600.0,8.636960663140898e-06
306700.0,8.6369606631409e-06
306800.0,8.636960663140896e-06
306900.0,8.636960663140898e-06
307000.0,8.636960663140901e-06
307100.0,8.636960663140901e-06
307200.0,8.6369606631409e-06
307300.0,8.636960663140903e-06
307400.0,8.636960663140898e-06
307500.0,8.6369606631409e-06
307600.0,8.636960663140901e-06
307700.0,8.636960663140905e-06
307800.0,8.636960663140903e-06
307900.0,8.636960663140903e-06
308000.0,8.6369606631409e-06
308100.0,8.6369606631409e-06
308200.0,8.636960663140898e-06
308300.0,8.6369606631409e-06
308400.0,8.636960663140896e-06
308500.0,8.636960663140901e-06
308600.0,8.636960663140901e-06
308700.0,8.6369606631409e-06
308800.0,8.636960663140896e-06
308900.0,8.6369606631409e-06
309000.0,8.636960663140901e-06
309100.0,8.636960663140903e-06
309200.0,8.6369606631409e-06
309300.0,8.6369606631409e-06
309400.0,8.636960663140898e-06
309500.0,8.636960663140903e-06
309600.0,8.636960663140896e-06
309700.0,8.6369606631409e-06
309800.0,8.636960663140896e-06
309900.0,8.636960663140903e-06
310000.0,8.6369606631409e-06
310100.0,8.636960663140901e-06
310200.0,8.636960663140896e-06
310300.0,8.636960663140898e-06
310400.0,8.636960663140896e-06
310500.0,8.6369606631409e-06
310600.0,8.636960663140896e-06
310700.0,8.636960663140896e-06
310800.0,8.636960663140898e-06
310900.0,8.636960663140896e-06
311000.0,8.636960663140894e-06
311100.0,8.636960663140898e-06
311200.0,8.636960663140901e-06
311300.0,8.636960663140903e-06
311400.0,8.6369606631409e-06
311500.0,8.636960663140898e-06
311600.0,8.636960663140896e-06
311700.0,8.6369606631409e-06
311800.0,8.636960663140901e-06
311900.0,8.636960663140901e-06
312000.0,8.636960663140898e-06
312100.0,8.6369606631409e-06
312200.0,8.636960663140898e-06
312300.0,8.636960663140901e-06
312400.0,8.636960663140898e-06
312500.0,8.636960663140903e-06
312600.0,8.636960663140901e-06
312700.0,8.636960663140906e-06
312800.0,8.6369606631409e-06
312900.0,8.6369606631409e-06
313000.0,8.636960663140896e-06
313100.0,8.6369606631409e-06
313200.0,8.636960663140894e-06
313300.0,8.636960663140896e-06
313400.0,8.6369606631409e-06
313500.0,8.636960663140898e-06
313600.0,8.636960663140898e-06
313700.0,8.636960663140903e-06
313800.0,8.6369606631409e-06
313900.0,8.636960663140901e-06
314000.0,8.6369606631409e-06
314100.0,8.6369606631409e-06
314200.0,8.636960663140896e-06
314300.0,8.6369606631409e-06
314400.0,8.636960663140901e-06
314500.0,8.6369606631409e-06
314600.0,8.636960663140903e-06
314700.0,8.6369606631409e-06
314800.0,8.636960663140903e-06
314900.0,8.6369606631409e-06
315000.0,8.636960663140905e-06
315100.0,8.636960663140898e-06
315200.0,8.636960663140901e-06
315300.0,8.636960663140896e-06
315400.0,8.636960663140898e-06
315500.0,8.6369606631409e-06
315600.0,8.636960663140898e-06
315700.0,8.636960663140896e-06
315800.0,8.6369606631409e-06
315900.0,8.636960663140901e-06
316000.0,8.636960663140901e-06
316100.0,8.6369606631409e-06
316200.0,8.636960663140896e-06
316300.0,8.6369606631409e-06
316400.0,8.636960663140894e-06
316500.0,8.636960663140896e-06
316600.0,8.636960663140901e-06
316700.0,8.636960663140898e-06
316800.0,8.636960663140896e-06
316900.0,8.636960663140901e-06
317000.0,8.636960663140901e-06
317100.0,8.636960663140901e-06
317200.0,8.636960663140901e-06
317300.0,8.636960663140896e-06
317400.0,8.636960663140898e-06
317500.0,8.636960663140901e-06
317600.0,8.636960663140898e-06
317700.0,8.636960663140896e-06
317800.0,8.6369606631409e-06
317900.0,8.636960663140896e-06
318000.0,8.636960663140898e-06
318100.0,8.636960663140901e-06
318200.0,8.636960663140903e-06
318300.0,8.636960663140901e-06
318400.0,8.6369606631409e-06
318500.0,8.6369606631409e-06
318600.0,8.636960663140896e-06
318700.0,8.6369606631409e-06
318800.0,8.636960663140896e-06
318900.0,8.6369606631409e-06
319000.0,8.636960663140894e-06
319100.0,8.636960663140896e-06
319200.0,8.636960663140896e-06
319300.0,8.636960663140901e-06
319400.0,8.636960663140898e-06
319500.0,8.6369606631409e-06
319600.0,8.636960663140898e-06
319700.0,8.636960663140903e-06
319800.0,8.6369606631409e-06
319900.0,8.636960663140906e-06
320000.0,8.636960663140898e-06
320100.0,8.6369606631409e-06
320200.0,8.6369606631409e-06
320300.0,8.6369606631409e-06
320400.0,8.636960663140898e-06
320500.0,8.636960663140903e-06
320600.0,8.636960663140898e-06
320700.0,8.6369606631409e-06
320800.0,8.636960663140898e-06
320900.0,8.6369606631409e-06
321000.0,8.636960663140896e-06
321100.0,8.636960663140903e-06
321200.0,8.6369606631409e-06
321300.0,8.6369606631409e-06
321400.0,8.636960663140896e-06
321500.0,8.6369606631409e-06
321600.0,8.636960663140896e-06
321700.0,8.636960663140896e-06
321800.0,8.636960663140901e-06
321900.0,8.636960663140896e-06
322000.0,8.636960663140896e-06
322100.0,8.636960663140901e-06
322200.0,8.636960663140903e-06
322300.0,8.636960663140903e-06
322400.0,8.636960663140901e-06
322500.0,8.636960663140903e-06
322600.0,8.6369606631409e-06
322700.0,8.6369606631409e-06
322800.0,8.6369606631409e-06
322900.0,8.636960663140898e-06
323000.0,8.6369606631409e-06
323100.0,8.636960663140894e-06
323200.0,8.636960663140896e-06
323300.0,8.6369606631409e-06
323400.0,8.636960663140896e-06
323500.0,8.636960663140898e-06
323600.0,8.636960663140901e-06
323700.0,8.636960663140898e-06
323800.0,8.6369606631409e-06
323900.0,8.636960663140894e-06
324000.0,8.636960663140898e-06
324100.0,8.636960663140901e-06
324200.0,8.636960663140896e-06
324300.0,8.636960663140896e-06
324400.0,8.6369606631409e-06
324500.0,8.636960663140896e-06
324600.0,8.636960663140898e-06
324700.0,8.636960663140903e-06
324800.0,8.636960663140898e-06
324900.0,8.636960663140901e-06
325000.0,8.636960663140898e-06
325100.0,8.636960663140905e-06
325200.0,8.636960663140898e-06
325300.0,8.6369606631409e-06
325400.0,8.636960663140896e-06
325500.0,8.6369606631409e-06
325600.0,8.636960663140898e-06
325700.0,8.636960663140903e-06
325800.0,8.636960663140898e-06
325900.0,8.636960663140901e-06
326000.0,8.636960663140898e-06
326100.0,8.636960663140898e-06
326200.0,8.6369606631409e-06
326300.0,8.636960663140901e-06
326400.0,8.636960663140898e-06
326500.0,8.636960663140901e-06
326600.0,8.636960663140898e-06
326700.0,8.6369606631409e-06
326800.0,8.636960663140898e-06
326900.0,8.6369606631409e-06
327000.0,8.636960663140901e-06
327100.0,8.636960663140901e-06
327200.0,8.636960663140898e-06
327300.0,8.636960663140901e-06
327400.0,8.636960663140898e-06
327500.0,8.636960663140896e-06
327600.0,8.636960663140901e-06
327700.0,8.636960663140903e-06
327800.0,8.636960663140901e-06
327900.0,8.636960663140898e-06
328000.0,8.636960663140903e-06
328100.0,8.636960663140898e-06
328200.0,8.636960663140901e-06
328300.0,8.6369606631409e-06
328400.0,8.636960663140898e-06
328500.0,8.636960663140898e-06
328600.0,8.636960663140898e-06
328700.0,8.636960663140901e-06
328800.0,8.6369606631409e-06
328900.0,8.6369606631409e-06
329000.0,8.636960663140903e-06
329100.0,8.636960663140898e-06
329200.0,8.6369606631409e-06
329300.0,8.636960663140898e-06
329400.0,8.636960663140901e-06
329500.0,8.636960663140898e-06
329600.0,8.636960663140901e-06
329700.0,8.636960663140896e-06
329800.0,8.636960663140896e-06
329900.0,8.636960663140898e-06
330000.0,8.6369606631409e-06
330100.0,8.636960663140896e-06
330200.0,8.6369606631409e-06
330300.0,8.636960663140896e-06
330400.0,8.636960663140898e-06
330500.0,8.636960663140901e-06
330600.0,8.636960663140896e-06
330700.0,8.636960663140898e-06
330800.0,8.636960663140896e-06
330900.0,8.636960663140898e-06
331000.0,8.636960663140896e-06
331100.0,8.636960663140898e-06
331200.0,8.636960663140903e-06
331300.0,8.636960663140898e-06
331400.0,8.636960663140898e-06
331500.0,8.636960663140901e-06
331600.0,8.636960663140896e-06
331700.0,8.636960663140901e-06
331800.0,8.636960663140894e-06
331900.0,8.636960663140898e-06
332000.0,8.636960663140894e-06
332100.0,8.636960663140898e-06
332200.0,8.636960663140896e-06
332300.0,8.6369606631409e-06
332400.0,8.636960663140894e-06
332500.0,8.636960663140898e-06
332600.0,8.636960663140898e-06
332700.0,8.636960663140898e-06
332800.0,8.636960663140896e-06
332900.0,8.6369606631409e-06
333000.0,8.636960663140896e-06
333100.0,8.6369606631409e-06
333200.0,8.636960663140898e-06
333300.0,8.636960663140903e-06
333400.0,8.6369606631409e-06
333500.0,8.636960663140903e-06
333600.0,8.636960663140898e-06
333700.0,8.636960663140901e-06
333800.0,8.636960663140896e-06
333900.0,8.636960663140896e-06
334000.0,8.636960663140898e-06
334100.0,8.636960663140898e-06
334200.0,8.636960663140896e-06
334300.0,8.636960663140901e-06
334400.0,8.6369606631409e-06
334500.0,8.6369606631409e-06
334600.0,8.636960663140898e-06
334700.0,8.636960663140903e-06
334800.0,8.636960663140898e-06
