M.D_b.pH Time [a],M.D_b.pH pH [mol/kg]
512400.0,7.91228489026285
512500.0,7.912284890262849
512600.0,7.91228489026285
512700.0,7.912284890262849
512800.0,7.91228489026285
512900.0,7.912284890262849
513000.0,7.91228489026285
513100.0,7.912284890262849
513200.0,7.91228489026285
513300.0,7.912284890262849
513400.0,7.91228489026285
513500.0,7.912284890262849
513600.0,7.91228489026285
513700.0,7.912284890262849
513800.0,7.91228489026285
513900.0,7.912284890262849
514000.0,7.91228489026285
514100.0,7.912284890262849
514200.0,7.91228489026285
514300.0,7.912284890262849
514400.0,7.91228489026285
514500.0,7.912284890262849
514600.0,7.91228489026285
514700.0,7.912284890262849
514800.0,7.91228489026285
514900.0,7.912284890262849
515000.0,7.91228489026285
515100.0,7.912284890262849
515200.0,7.91228489026285
515300.0,7.912284890262849
515400.0,7.91228489026285
515500.0,7.912284890262849
515600.0,7.91228489026285
515700.0,7.912284890262849
515800.0,7.91228489026285
515900.0,7.912284890262849
516000.0,7.91228489026285
516100.0,7.912284890262849
516200.0,7.91228489026285
516300.0,7.912284890262849
516400.0,7.91228489026285
516500.0,7.912284890262849
516600.0,7.91228489026285
516700.0,7.912284890262849
516800.0,7.91228489026285
516900.0,7.912284890262849
517000.0,7.91228489026285
517100.0,7.912284890262849
517200.0,7.91228489026285
517300.0,7.912284890262849
517400.0,7.91228489026285
517500.0,7.912284890262849
517600.0,7.91228489026285
517700.0,7.912284890262849
517800.0,7.91228489026285
517900.0,7.912284890262849
518000.0,7.91228489026285
518100.0,7.912284890262849
518200.0,7.91228489026285
518300.0,7.912284890262849
518400.0,7.91228489026285
518500.0,7.912284890262849
518600.0,7.91228489026285
518700.0,7.912284890262849
518800.0,7.91228489026285
518900.0,7.912284890262849
519000.0,7.91228489026285
519100.0,7.912284890262849
519200.0,7.91228489026285
519300.0,7.912284890262849
519400.0,7.91228489026285
519500.0,7.912284890262849
519600.0,7.91228489026285
519700.0,7.912284890262849
519800.0,7.91228489026285
519900.0,7.912284890262849
520000.0,7.91228489026285
520100.0,7.912284890262849
520200.0,7.91228489026285
520300.0,7.912284890262849
520400.0,7.91228489026285
520500.0,7.912284890262849
520600.0,7.91228489026285
520700.0,7.912284890262849
520800.0,7.91228489026285
520900.0,7.912284890262849
521000.0,7.91228489026285
521100.0,7.912284890262849
521200.0,7.91228489026285
521300.0,7.912284890262849
521400.0,7.91228489026285
521500.0,7.912284890262849
521600.0,7.91228489026285
521700.0,7.912284890262849
521800.0,7.91228489026285
521900.0,7.912284890262849
522000.0,7.91228489026285
522100.0,7.912284890262849
522200.0,7.91228489026285
522300.0,7.912284890262849
522400.0,7.91228489026285
