M.L_b.Hplus Time [a],M.L_b.Hplus Hplus [mol/kg]
387450.0,5.395015419940609e-09
387460.0,5.395015419940609e-09
387470.0,5.395015419940609e-09
387480.0,5.395015419940609e-09
387490.0,5.395015419940609e-09
387500.0,5.395015419940609e-09
387510.0,5.395015419940609e-09
387520.0,5.395015419940609e-09
387530.0,5.395015419940609e-09
387540.0,5.395015419940609e-09
387550.0,5.395015419940609e-09
387560.0,5.395015419940609e-09
387570.0,5.395015419940609e-09
387580.0,5.395015419940609e-09
387590.0,5.395015419940609e-09
387600.0,5.395015419940609e-09
387610.0,5.395015419940609e-09
387620.0,5.395015419940609e-09
387630.0,5.395015419940609e-09
387640.0,5.395015419940609e-09
387650.0,5.395015419940609e-09
387660.0,5.395015419940609e-09
387670.0,5.395015419940609e-09
387680.0,5.395015419940609e-09
387690.0,5.395015419940609e-09
387700.0,5.395015419940609e-09
387710.0,5.395015419940609e-09
387720.0,5.395015419940609e-09
387730.0,5.395015419940609e-09
387740.0,5.395015419940609e-09
387750.0,5.395015419940609e-09
387760.0,5.395015419940609e-09
387770.0,5.395015419940609e-09
387780.0,5.395015419940609e-09
387790.0,5.395015419940609e-09
387800.0,5.395015419940609e-09
387810.0,5.395015419940609e-09
387820.0,5.395015419940609e-09
387830.0,5.395015419940609e-09
387840.0,5.395015419940609e-09
387850.0,5.395015419940609e-09
387860.0,5.395015419940609e-09
387870.0,5.395015419940609e-09
387880.0,5.395015419940609e-09
387890.0,5.395015419940609e-09
387900.0,5.395015419940609e-09
387910.0,5.395015419940609e-09
387920.0,5.395015419940609e-09
387930.0,5.395015419940609e-09
387940.0,5.395015419940609e-09
387950.0,5.395015419940609e-09
387960.0,5.395015419940609e-09
387970.0,5.395015419940609e-09
387980.0,5.395015419940609e-09
387990.0,5.395015419940609e-09
388000.0,5.395015419940609e-09
388010.0,5.395015419940609e-09
388020.0,5.395015419940609e-09
388030.0,5.395015419940609e-09
388040.0,5.395015419940609e-09
388050.0,5.395015419940609e-09
388060.0,5.395015419940609e-09
388070.0,5.395015419940609e-09
388080.0,5.395015419940609e-09
388090.0,5.395015419940609e-09
388100.0,5.395015419940609e-09
388110.0,5.395015419940609e-09
388120.0,5.395015419940609e-09
388130.0,5.395015419940609e-09
388140.0,5.395015419940609e-09
388150.0,5.395015419940609e-09
388160.0,5.395015419940609e-09
388170.0,5.395015419940609e-09
388180.0,5.395015419940609e-09
388190.0,5.395015419940609e-09
388200.0,5.395015419940609e-09
388210.0,5.395015419940609e-09
388220.0,5.395015419940609e-09
388230.0,5.395015419940609e-09
388240.0,5.395015419940609e-09
388250.0,5.395015419940609e-09
388260.0,5.395015419940609e-09
388270.0,5.395015419940609e-09
388280.0,5.395015419940609e-09
388290.0,5.395015419940609e-09
388300.0,5.395015419940609e-09
388310.0,5.395015419940609e-09
388320.0,5.395015419940609e-09
388330.0,5.395015419940609e-09
388340.0,5.395015419940609e-09
388350.0,5.395015419940609e-09
388360.0,5.395015419940609e-09
388370.0,5.395015419940609e-09
388380.0,5.395015419940609e-09
388390.0,5.395015419940609e-09
388400.0,5.395015419940609e-09
388410.0,5.395015419940609e-09
388420.0,5.395015419940609e-09
388430.0,5.395015419940609e-09
388440.0,5.395015419940609e-09
388450.0,5.395015419940609e-09
388460.0,5.395015419940609e-09
388470.0,5.395015419940609e-09
388480.0,5.395015419940609e-09
388490.0,5.395015419940609e-09
