M.L_b.DIC Time [a],M.L_b.DIC DIC [mol/kg]
18800.0,0.0019409021926233107
18900.0,0.0019409037149773116
19000.0,0.0019409052134662932
19100.0,0.001940906688448209
19200.0,0.0019409081403027467
19300.0,0.0019409095694034764
19400.0,0.0019409109761132054
19500.0,0.0019409123607839196
19600.0,0.001940913723738063
19700.0,0.0019409150653187989
19800.0,0.0019409163836945189
19900.0,0.001940917642295052
20000.0,0.001940918878724039
20100.0,0.0019409200993340723
20200.0,0.001940921304137482
20300.0,0.0019409224919353
20400.0,0.0019409236619493397
20500.0,0.0019409248139962089
20600.0,0.0019409259768122106
20700.0,0.0019409271732117198
20800.0,0.001940928346563909
20900.0,0.0019409294950275867
21000.0,0.0019409306218250448
21100.0,0.001940931729694125
21200.0,0.0019409328192217241
21300.0,0.0019409338909788397
21400.0,0.0019409349456255625
