M.D_b.CO3 Time [a],M.D_b.CO3 CO3 [mol/kg]
366700.0,8.73974210261379e-05
366800.0,8.739742102613779e-05
366900.0,8.739742102613795e-05
367000.0,8.739742102613791e-05
367100.0,8.739742102613777e-05
367200.0,8.739742102613795e-05
367300.0,8.739742102613791e-05
367400.0,8.739742102613777e-05
367500.0,8.739742102613795e-05
367600.0,8.739742102613791e-05
367700.0,8.739742102613777e-05
367800.0,8.739742102613795e-05
367900.0,8.739742102613791e-05
368000.0,8.739742102613779e-05
368100.0,8.739742102613798e-05
368200.0,8.739742102613791e-05
368300.0,8.739742102613781e-05
368400.0,8.739742102613793e-05
368500.0,8.739742102613791e-05
368600.0,8.739742102613777e-05
368700.0,8.739742102613796e-05
368800.0,8.739742102613791e-05
368900.0,8.739742102613777e-05
369000.0,8.739742102613795e-05
369100.0,8.739742102613791e-05
369200.0,8.739742102613779e-05
369300.0,8.739742102613792e-05
369400.0,8.73974210261379e-05
369500.0,8.739742102613781e-05
369600.0,8.739742102613798e-05
369700.0,8.73974210261379e-05
369800.0,8.739742102613777e-05
369900.0,8.739742102613798e-05
370000.0,8.73974210261379e-05
370100.0,8.739742102613776e-05
370200.0,8.739742102613799e-05
370300.0,8.739742102613791e-05
370400.0,8.739742102613777e-05
370500.0,8.739742102613796e-05
370600.0,8.739742102613791e-05
370700.0,8.739742102613776e-05
370800.0,8.739742102613796e-05
370900.0,8.739742102613791e-05
371000.0,8.739742102613779e-05
371100.0,8.739742102613795e-05
371200.0,8.739742102613791e-05
371300.0,8.739742102613777e-05
371400.0,8.739742102613798e-05
371500.0,8.739742102613791e-05
371600.0,8.739742102613779e-05
371700.0,8.739742102613799e-05
371800.0,8.739742102613791e-05
371900.0,8.739742102613774e-05
372000.0,8.739742102613795e-05
372100.0,8.739742102613791e-05
372200.0,8.739742102613777e-05
372300.0,8.739742102613798e-05
372400.0,8.73974210261379e-05
372500.0,8.739742102613779e-05
372600.0,8.739742102613798e-05
372700.0,8.739742102613791e-05
372800.0,8.739742102613779e-05
372900.0,8.739742102613795e-05
373000.0,8.739742102613791e-05
373100.0,8.739742102613777e-05
373200.0,8.739742102613796e-05
373300.0,8.73974210261379e-05
373400.0,8.739742102613779e-05
373500.0,8.739742102613795e-05
373600.0,8.73974210261379e-05
373700.0,8.739742102613779e-05
373800.0,8.739742102613798e-05
373900.0,8.739742102613788e-05
374000.0,8.739742102613777e-05
374100.0,8.739742102613795e-05
374200.0,8.73974210261379e-05
374300.0,8.739742102613781e-05
374400.0,8.739742102613795e-05
374500.0,8.73974210261379e-05
374600.0,8.739742102613779e-05
374700.0,8.739742102613796e-05
374800.0,8.739742102613788e-05
374900.0,8.739742102613777e-05
375000.0,8.739742102613796e-05
375100.0,8.739742102613791e-05
375200.0,8.739742102613779e-05
375300.0,8.739742102613798e-05
375400.0,8.73974210261379e-05
375500.0,8.739742102613777e-05
375600.0,8.739742102613793e-05
375700.0,8.739742102613791e-05
375800.0,8.739742102613777e-05
375900.0,8.739742102613796e-05
376000.0,8.739742102613791e-05
376100.0,8.739742102613779e-05
376200.0,8.739742102613798e-05
376300.0,8.739742102613791e-05
376400.0,8.739742102613781e-05
376500.0,8.739742102613793e-05
376600.0,8.739742102613791e-05
376700.0,8.739742102613781e-05
376800.0,8.739742102613793e-05
376900.0,8.739742102613791e-05
377000.0,8.739742102613779e-05
377100.0,8.739742102613796e-05
377200.0,8.73974210261379e-05
377300.0,8.739742102613777e-05
377400.0,8.739742102613795e-05
377500.0,8.739742102613791e-05
377600.0,8.739742102613779e-05
