M.D_b.zsat Time [a],M.D_b.zsat zsat [mol/kg]
93000.0,3755
93100.0,3755
93200.0,3755
93300.0,3755
93400.0,3755
93500.0,3755
93600.0,3755
93700.0,3755
93800.0,3755
93900.0,3755
94000.0,3755
94100.0,3755
94200.0,3755
94300.0,3755
94400.0,3755
94500.0,3755
94600.0,3755
94700.0,3755
94800.0,3755
94900.0,3755
95000.0,3755
95100.0,3755
95200.0,3755
95300.0,3755
95400.0,3755
95500.0,3755
95600.0,3755
95700.0,3755
95800.0,3755
95900.0,3755
96000.0,3755
96100.0,3755
96200.0,3755
96300.0,3755
96400.0,3755
96500.0,3755
96600.0,3755
96700.0,3755
96800.0,3755
96900.0,3755
97000.0,3755
97100.0,3755
97200.0,3755
97300.0,3755
97400.0,3755
97500.0,3755
97600.0,3755
97700.0,3755
97800.0,3755
97900.0,3755
98000.0,3755
98100.0,3755
98200.0,3755
98300.0,3755
98400.0,3755
98500.0,3755
98600.0,3755
98700.0,3755
98800.0,3755
98900.0,3755
99000.0,3755
99100.0,3755
99200.0,3755
99300.0,3755
99400.0,3755
99500.0,3755
99600.0,3755
99700.0,3755
99800.0,3755
99900.0,3755
100000.0,3755
100100.0,3755
100200.0,3755
100300.0,3755
100400.0,3755
100500.0,3755
100600.0,3755
100700.0,3755
100800.0,3755
100900.0,3755
101000.0,3755
101100.0,3755
101200.0,3755
101300.0,3755
101400.0,3755
101500.0,3755
101600.0,3755
101700.0,3755
101800.0,3755
101900.0,3755
102000.0,3755
102100.0,3755
102200.0,3755
102300.0,3755
102400.0,3755
102500.0,3755
102600.0,3755
102700.0,3755
102800.0,3755
102900.0,3755
103000.0,3755
103100.0,3755
103200.0,3755
103300.0,3755
103400.0,3755
103500.0,3755
103600.0,3755
103700.0,3755
103800.0,3755
103900.0,3755
104000.0,3755
104100.0,3755
104200.0,3755
104300.0,3755
104400.0,3755
104500.0,3755
104600.0,3755
104700.0,3755
104800.0,3755
104900.0,3755
105000.0,3755
105100.0,3755
105200.0,3755
105300.0,3755
105400.0,3755
105500.0,3755
105600.0,3755
105700.0,3755
105800.0,3755
105900.0,3755
106000.0,3755
106100.0,3755
106200.0,3755
106300.0,3755
106400.0,3755
106500.0,3755
106600.0,3755
106700.0,3755
106800.0,3755
106900.0,3755
107000.0,3755
107100.0,3755
107200.0,3755
107300.0,3755
107400.0,3755
107500.0,3755
107600.0,3755
107700.0,3755
107800.0,3755
107900.0,3755
108000.0,3755
108100.0,3755
108200.0,3755
108300.0,3755
108400.0,3755
108500.0,3755
108600.0,3755
108700.0,3755
108800.0,3755
108900.0,3755
109000.0,3755
109100.0,3755
109200.0,3755
109300.0,3755
109400.0,3755
109500.0,3755
109600.0,3755
109700.0,3755
109800.0,3755
109900.0,3755
110000.0,3755
110100.0,3755
110200.0,3755
110300.0,3755
110400.0,3755
110500.0,3755
110600.0,3755
110700.0,3755
110800.0,3755
110900.0,3755
111000.0,3755
111100.0,3755
111200.0,3755
111300.0,3755
111400.0,3755
111500.0,3755
111600.0,3755
111700.0,3755
111800.0,3755
111900.0,3755
112000.0,3755
112100.0,3755
112200.0,3755
112300.0,3755
112400.0,3755
112500.0,3755
112600.0,3755
112700.0,3755
112800.0,3755
112900.0,3755
113000.0,3755
113100.0,3755
113200.0,3755
113300.0,3755
113400.0,3755
113500.0,3755
113600.0,3755
113700.0,3755
113800.0,3755
113900.0,3755
114000.0,3755
114100.0,3755
114200.0,3755
114300.0,3755
114400.0,3755
114500.0,3755
114600.0,3755
114700.0,3755
114800.0,3755
114900.0,3755
115000.0,3755
115100.0,3755
115200.0,3755
115300.0,3755
115400.0,3755
115500.0,3755
115600.0,3755
115700.0,3755
115800.0,3755
115900.0,3755
116000.0,3755
116100.0,3755
116200.0,3755
116300.0,3755
116400.0,3755
116500.0,3755
116600.0,3755
116700.0,3755
116800.0,3755
116900.0,3755
117000.0,3755
117100.0,3755
117200.0,3755
117300.0,3755
117400.0,3755
117500.0,3755
117600.0,3755
117700.0,3755
117800.0,3755
117900.0,3755
118000.0,3755
118100.0,3755
118200.0,3755
118300.0,3755
118400.0,3755
118500.0,3755
118600.0,3755
118700.0,3755
118800.0,3755
118900.0,3755
119000.0,3755
119100.0,3755
119200.0,3755
119300.0,3755
119400.0,3755
119500.0,3755
119600.0,3755
119700.0,3755
119800.0,3755
119900.0,3755
120000.0,3755
120100.0,3755
120200.0,3755
120300.0,3755
120400.0,3755
120500.0,3755
120600.0,3755
120700.0,3755
120800.0,3755
120900.0,3755
121000.0,3755
121100.0,3755
121200.0,3755
121300.0,3755
121400.0,3755
121500.0,3755
121600.0,3755
121700.0,3755
121800.0,3755
121900.0,3755
122000.0,3755
122100.0,3755
122200.0,3755
122300.0,3755
122400.0,3755
122500.0,3755
122600.0,3755
122700.0,3755
122800.0,3755
122900.0,3755
123000.0,3755
123100.0,3755
123200.0,3755
123300.0,3755
123400.0,3755
123500.0,3755
123600.0,3755
123700.0,3755
123800.0,3755
123900.0,3755
124000.0,3755
124100.0,3755
124200.0,3755
124300.0,3755
124400.0,3755
124500.0,3755
124600.0,3755
124700.0,3755
124800.0,3755
124900.0,3755
125000.0,3755
125100.0,3755
125200.0,3755
125300.0,3755
125400.0,3755
125500.0,3755
125600.0,3755
125700.0,3755
125800.0,3755
125900.0,3755
126000.0,3755
126100.0,3755
126200.0,3755
126300.0,3755
126400.0,3755
126500.0,3755
126600.0,3755
126700.0,3755
126800.0,3755
126900.0,3755
127000.0,3755
127100.0,3755
127200.0,3755
127300.0,3755
127400.0,3755
127500.0,3755
127600.0,3755
127700.0,3755
127800.0,3755
127900.0,3755
128000.0,3755
128100.0,3755
128200.0,3755
128300.0,3755
128400.0,3755
128500.0,3755
128600.0,3755
128700.0,3755
128800.0,3755
128900.0,3755
129000.0,3755
129100.0,3755
129200.0,3755
129300.0,3755
129400.0,3755
129500.0,3755
129600.0,3755
129700.0,3755
129800.0,3755
129900.0,3755
130000.0,3755
130100.0,3755
130200.0,3755
130300.0,3755
130400.0,3755
130500.0,3755
130600.0,3755
130700.0,3755
130800.0,3755
130900.0,3755
131000.0,3755
131100.0,3755
131200.0,3755
131300.0,3755
131400.0,3755
131500.0,3755
131600.0,3755
131700.0,3755
131800.0,3755
131900.0,3755
132000.0,3755
132100.0,3755
132200.0,3755
132300.0,3755
132400.0,3755
132500.0,3755
132600.0,3755
132700.0,3755
132800.0,3755
132900.0,3755
133000.0,3755
133100.0,3755
133200.0,3755
133300.0,3755
133400.0,3755
133500.0,3755
133600.0,3755
133700.0,3755
133800.0,3755
133900.0,3755
134000.0,3755
134100.0,3755
134200.0,3755
134300.0,3755
134400.0,3755
134500.0,3755
134600.0,3755
134700.0,3755
134800.0,3755
134900.0,3755
135000.0,3755
135100.0,3755
135200.0,3755
135300.0,3755
135400.0,3755
135500.0,3755
135600.0,3755
135700.0,3755
135800.0,3755
135900.0,3755
136000.0,3755
136100.0,3755
136200.0,3755
136300.0,3755
136400.0,3755
136500.0,3755
136600.0,3755
136700.0,3755
136800.0,3755
136900.0,3755
137000.0,3755
137100.0,3755
137200.0,3755
137300.0,3755
137400.0,3755
137500.0,3755
137600.0,3755
137700.0,3755
137800.0,3755
137900.0,3755
138000.0,3755
138100.0,3755
138200.0,3755
138300.0,3755
138400.0,3755
138500.0,3755
138600.0,3755
138700.0,3755
138800.0,3755
138900.0,3755
139000.0,3755
139100.0,3755
139200.0,3755
139300.0,3755
139400.0,3755
139500.0,3755
139600.0,3755
139700.0,3755
139800.0,3755
139900.0,3755
140000.0,3755
140100.0,3755
140200.0,3755
140300.0,3755
140400.0,3755
140500.0,3755
140600.0,3755
140700.0,3755
140800.0,3755
140900.0,3755
141000.0,3755
141100.0,3755
141200.0,3755
141300.0,3755
141400.0,3755
141500.0,3755
141600.0,3755
141700.0,3755
141800.0,3755
141900.0,3755
142000.0,3755
142100.0,3755
142200.0,3755
142300.0,3755
142400.0,3755
142500.0,3755
142600.0,3755
142700.0,3755
142800.0,3755
142900.0,3755
143000.0,3755
143100.0,3755
143200.0,3755
143300.0,3755
143400.0,3755
143500.0,3755
143600.0,3755
143700.0,3755
143800.0,3755
143900.0,3755
144000.0,3755
144100.0,3755
144200.0,3755
144300.0,3755
144400.0,3755
144500.0,3755
144600.0,3755
144700.0,3755
144800.0,3755
144900.0,3755
145000.0,3755
145100.0,3755
145200.0,3755
145300.0,3755
145400.0,3755
145500.0,3755
145600.0,3755
145700.0,3755
145800.0,3755
145900.0,3755
146000.0,3755
146100.0,3755
146200.0,3755
146300.0,3755
146400.0,3755
146500.0,3755
146600.0,3755
146700.0,3755
146800.0,3755
146900.0,3755
147000.0,3755
147100.0,3755
147200.0,3755
147300.0,3755
147400.0,3755
147500.0,3755
147600.0,3755
147700.0,3755
147800.0,3755
147900.0,3755
148000.0,3755
148100.0,3755
148200.0,3755
148300.0,3755
148400.0,3755
148500.0,3755
148600.0,3755
148700.0,3755
148800.0,3755
148900.0,3755
149000.0,3755
149100.0,3755
149200.0,3755
149300.0,3755
149400.0,3755
149500.0,3755
149600.0,3755
149700.0,3755
