M.L_b.pH Time [a],M.L_b.pH pH [mol/kg]
498800.0,8.268006973781965
498900.0,8.268006973781965
499000.0,8.268006973781965
499100.0,8.268006973781965
499200.0,8.268006973781965
499300.0,8.268006973781965
499400.0,8.268006973781965
499500.0,8.268006973781965
499600.0,8.268006973781965
499700.0,8.268006973781965
499800.0,8.268006973781965
499900.0,8.268006973781965
500000.0,8.268006973781965
500100.0,8.268006973781965
500200.0,8.268006973781965
500300.0,8.268006973781965
500400.0,8.268006973781965
500500.0,8.268006973781965
500600.0,8.268006973781965
500700.0,8.268006973781965
500800.0,8.268006973781965
500900.0,8.268006973781965
501000.0,8.268006973781965
501100.0,8.268006973781965
501200.0,8.268006973781965
501300.0,8.268006973781965
501400.0,8.268006973781965
501500.0,8.268006973781965
501600.0,8.268006973781965
501700.0,8.268006973781965
501800.0,8.268006973781965
501900.0,8.268006973781965
502000.0,8.268006973781965
502100.0,8.268006973781965
502200.0,8.268006973781965
502300.0,8.268006973781965
502400.0,8.268006973781965
502500.0,8.268006973781965
502600.0,8.268006973781965
502700.0,8.268006973781965
502800.0,8.268006973781965
502900.0,8.268006973781965
503000.0,8.268006973781965
503100.0,8.268006973781965
503200.0,8.268006973781965
503300.0,8.268006973781965
503400.0,8.268006973781965
503500.0,8.268006973781965
503600.0,8.268006973781965
503700.0,8.268006973781965
503800.0,8.268006973781965
503900.0,8.268006973781965
504000.0,8.268006973781965
504100.0,8.268006973781965
504200.0,8.268006973781965
504300.0,8.268006973781965
504400.0,8.268006973781965
504500.0,8.268006973781965
504600.0,8.268006973781965
504700.0,8.268006973781965
504800.0,8.268006973781965
504900.0,8.268006973781965
505000.0,8.268006973781965
505100.0,8.268006973781965
505200.0,8.268006973781965
505300.0,8.268006973781965
505400.0,8.268006973781965
505500.0,8.268006973781965
505600.0,8.268006973781965
505700.0,8.268006973781965
505800.0,8.268006973781965
505900.0,8.268006973781965
506000.0,8.268006973781965
506100.0,8.268006973781965
506200.0,8.268006973781965
506300.0,8.268006973781965
506400.0,8.268006973781965
506500.0,8.268006973781965
506600.0,8.268006973781965
506700.0,8.268006973781965
506800.0,8.268006973781965
506900.0,8.268006973781965
507000.0,8.268006973781965
507100.0,8.268006973781965
507200.0,8.268006973781965
507300.0,8.268006973781965
507400.0,8.268006973781965
507500.0,8.268006973781965
507600.0,8.268006973781965
507700.0,8.268006973781965
507800.0,8.268006973781965
507900.0,8.268006973781965
508000.0,8.268006973781965
508100.0,8.268006973781965
