M.H_b.Hplus Time [a],M.H_b.Hplus Hplus [mol/kg]
691000.0,5.8717069426387845e-09
692000.0,5.871706942638785e-09
693000.0,5.871706942638785e-09
694000.0,5.871706942638789e-09
695000.0,5.871706942638782e-09
696000.0,5.871706942638784e-09
697000.0,5.871706942638786e-09
698000.0,5.871706942638788e-09
699000.0,5.871706942638783e-09
700000.0,5.8717069426387845e-09
701000.0,5.871706942638786e-09
702000.0,5.871706942638787e-09
703000.0,5.8717069426387845e-09
704000.0,5.871706942638785e-09
705000.0,5.871706942638787e-09
706000.0,5.871706942638786e-09
707000.0,5.871706942638784e-09
708000.0,5.871706942638786e-09
709000.0,5.871706942638785e-09
710000.0,5.871706942638783e-09
711000.0,5.87170694263878e-09
712000.0,5.871706942638784e-09
713000.0,5.871706942638785e-09
714000.0,5.871706942638786e-09
715000.0,5.871706942638789e-09
716000.0,5.871706942638782e-09
717000.0,5.871706942638785e-09
718000.0,5.871706942638782e-09
719000.0,5.871706942638786e-09
720000.0,5.871706942638782e-09
721000.0,5.871706942638784e-09
722000.0,5.871706942638789e-09
723000.0,5.8717069426387845e-09
724000.0,5.871706942638784e-09
725000.0,5.871706942638781e-09
726000.0,5.871706942638785e-09
727000.0,5.871706942638783e-09
728000.0,5.871706942638783e-09
729000.0,5.871706942638787e-09
730000.0,5.871706942638789e-09
731000.0,5.871706942638786e-09
732000.0,5.871706942638788e-09
733000.0,5.871706942638787e-09
734000.0,5.871706942638785e-09
735000.0,5.871706942638786e-09
736000.0,5.871706942638781e-09
737000.0,5.871706942638786e-09
738000.0,5.871706942638783e-09
739000.0,5.871706942638787e-09
740000.0,5.871706942638786e-09
741000.0,5.871706942638782e-09
742000.0,5.8717069426387845e-09
743000.0,5.8717069426387845e-09
744000.0,5.871706942638787e-09
745000.0,5.8717069426387845e-09
746000.0,5.871706942638782e-09
747000.0,5.871706942638785e-09
748000.0,5.871706942638785e-09
749000.0,5.8717069426387845e-09
750000.0,5.8717069426387845e-09
751000.0,5.8717069426387895e-09
752000.0,5.871706942638786e-09
753000.0,5.871706942638783e-09
754000.0,5.871706942638785e-09
755000.0,5.871706942638786e-09
756000.0,5.871706942638787e-09
757000.0,5.871706942638784e-09
758000.0,5.871706942638785e-09
759000.0,5.871706942638783e-09
760000.0,5.871706942638784e-09
761000.0,5.871706942638785e-09
762000.0,5.8717069426387895e-09
763000.0,5.871706942638785e-09
764000.0,5.871706942638788e-09
765000.0,5.871706942638783e-09
766000.0,5.871706942638784e-09
767000.0,5.8717069426387796e-09
768000.0,5.871706942638788e-09
769000.0,5.871706942638783e-09
770000.0,5.871706942638787e-09
771000.0,5.8717069426387845e-09
772000.0,5.871706942638787e-09
773000.0,5.8717069426387845e-09
774000.0,5.871706942638784e-09
775000.0,5.871706942638785e-09
776000.0,5.871706942638786e-09
777000.0,5.871706942638785e-09
778000.0,5.871706942638783e-09
779000.0,5.8717069426387895e-09
780000.0,5.871706942638784e-09
781000.0,5.871706942638786e-09
782000.0,5.871706942638787e-09
783000.0,5.871706942638783e-09
784000.0,5.871706942638785e-09
785000.0,5.8717069426387845e-09
786000.0,5.871706942638786e-09
787000.0,5.871706942638784e-09
788000.0,5.871706942638783e-09
789000.0,5.8717069426387845e-09
790000.0,5.8717069426387845e-09
791000.0,5.871706942638788e-09
792000.0,5.871706942638787e-09
793000.0,5.871706942638781e-09
794000.0,5.8717069426387845e-09
795000.0,5.871706942638785e-09
796000.0,5.871706942638787e-09
797000.0,5.8717069426387845e-09
798000.0,5.871706942638784e-09
799000.0,5.871706942638783e-09
800000.0,5.871706942638783e-09
801000.0,5.871706942638783e-09
802000.0,5.871706942638782e-09
803000.0,5.871706942638788e-09
804000.0,5.871706942638784e-09
805000.0,5.871706942638787e-09
806000.0,5.871706942638782e-09
807000.0,5.8717069426387895e-09
808000.0,5.871706942638784e-09
809000.0,5.871706942638785e-09
810000.0,5.871706942638789e-09
811000.0,5.871706942638782e-09
812000.0,5.871706942638786e-09
813000.0,5.871706942638785e-09
814000.0,5.871706942638788e-09
815000.0,5.871706942638784e-09
816000.0,5.871706942638783e-09
817000.0,5.871706942638784e-09
818000.0,5.871706942638785e-09
819000.0,5.871706942638785e-09
820000.0,5.871706942638787e-09
821000.0,5.8717069426387845e-09
822000.0,5.871706942638784e-09
823000.0,5.871706942638784e-09
824000.0,5.8717069426387845e-09
825000.0,5.871706942638785e-09
826000.0,5.871706942638789e-09
827000.0,5.871706942638786e-09
828000.0,5.871706942638784e-09
829000.0,5.871706942638786e-09
830000.0,5.871706942638783e-09
831000.0,5.871706942638786e-09
832000.0,5.871706942638786e-09
833000.0,5.8717069426387845e-09
834000.0,5.871706942638785e-09
835000.0,5.871706942638788e-09
836000.0,5.871706942638785e-09
837000.0,5.871706942638788e-09
838000.0,5.871706942638787e-09
839000.0,5.871706942638785e-09
840000.0,5.871706942638788e-09
841000.0,5.871706942638782e-09
842000.0,5.871706942638789e-09
843000.0,5.871706942638785e-09
844000.0,5.871706942638784e-09
845000.0,5.8717069426387845e-09
846000.0,5.87170694263878e-09
847000.0,5.871706942638788e-09
848000.0,5.8717069426387845e-09
849000.0,5.871706942638785e-09
850000.0,5.871706942638784e-09
851000.0,5.871706942638782e-09
852000.0,5.871706942638785e-09
853000.0,5.871706942638782e-09
854000.0,5.871706942638786e-09
855000.0,5.8717069426387845e-09
856000.0,5.871706942638787e-09
857000.0,5.871706942638782e-09
858000.0,5.871706942638785e-09
859000.0,5.871706942638787e-09
860000.0,5.871706942638785e-09
861000.0,5.8717069426387845e-09
862000.0,5.87170694263879e-09
863000.0,5.871706942638782e-09
864000.0,5.8717069426387845e-09
865000.0,5.8717069426387845e-09
866000.0,5.871706942638789e-09
867000.0,5.871706942638785e-09
868000.0,5.8717069426387845e-09
869000.0,5.8717069426387845e-09
870000.0,5.871706942638784e-09
871000.0,5.871706942638788e-09
872000.0,5.87170694263878e-09
873000.0,5.871706942638782e-09
874000.0,5.871706942638782e-09
875000.0,5.871706942638786e-09
876000.0,5.871706942638783e-09
877000.0,5.871706942638788e-09
878000.0,5.871706942638782e-09
879000.0,5.871706942638788e-09
880000.0,5.871706942638787e-09
881000.0,5.871706942638786e-09
882000.0,5.871706942638787e-09
883000.0,5.8717069426387895e-09
884000.0,5.871706942638783e-09
885000.0,5.8717069426387845e-09
886000.0,5.871706942638785e-09
887000.0,5.871706942638788e-09
888000.0,5.871706942638783e-09
889000.0,5.871706942638785e-09
890000.0,5.871706942638787e-09
891000.0,5.871706942638785e-09
892000.0,5.871706942638783e-09
893000.0,5.871706942638781e-09
894000.0,5.871706942638787e-09
895000.0,5.8717069426387845e-09
896000.0,5.871706942638786e-09
