M.D_b.CO2aq Time [a],M.D_b.CO2aq CO2aq [mol/kg]
850100.0,2.766657677694344e-05
850200.0,2.766657677694344e-05
850300.0,2.7666576776943442e-05
850400.0,2.766657677694345e-05
850500.0,2.7666576776943456e-05
850600.0,2.766657677694346e-05
850700.0,2.7666576776943466e-05
850800.0,2.766657677694347e-05
850900.0,2.766657677694347e-05
851000.0,2.7666576776943476e-05
851100.0,2.766657677694348e-05
851200.0,2.7666576776943486e-05
851300.0,2.766657677694349e-05
851400.0,2.7666576776943496e-05
851500.0,2.7666576776943496e-05
851600.0,2.76665767769435e-05
851700.0,2.7666576776943507e-05
851800.0,2.7666576776943513e-05
851900.0,2.7666576776943517e-05
852000.0,2.7666576776943524e-05
852100.0,2.7666576776943527e-05
852200.0,2.7666576776943534e-05
852300.0,2.7666576776943537e-05
852400.0,2.7666576776943544e-05
852500.0,2.7666576776943547e-05
852600.0,2.7666576776943554e-05
852700.0,2.7666576776943557e-05
852800.0,2.7666576776943557e-05
852900.0,2.7666576776943564e-05
853000.0,2.766657677694357e-05
853100.0,2.7666576776943574e-05
853200.0,2.766657677694358e-05
853300.0,2.766657677694358e-05
853400.0,2.7666576776943585e-05
853500.0,2.766657677694359e-05
853600.0,2.7666576776943595e-05
853700.0,2.76665767769436e-05
853800.0,2.7666576776943605e-05
853900.0,2.766657677694361e-05
854000.0,2.7666576776943615e-05
854100.0,2.7666576776943622e-05
854200.0,2.7666576776943625e-05
854300.0,2.7666576776943632e-05
854400.0,2.766657677694364e-05
854500.0,2.7666576776943642e-05
854600.0,2.766657677694365e-05
854700.0,2.7666576776943652e-05
854800.0,2.7666576776943652e-05
854900.0,2.766657677694366e-05
855000.0,2.766657677694366e-05
855100.0,2.766657677694366e-05
855200.0,2.7666576776943662e-05
855300.0,2.766657677694367e-05
855400.0,2.7666576776943673e-05
855500.0,2.766657677694368e-05
855600.0,2.7666576776943683e-05
855700.0,2.766657677694369e-05
855800.0,2.7666576776943696e-05
855900.0,2.7666576776943696e-05
856000.0,2.76665767769437e-05
856100.0,2.76665767769437e-05
856200.0,2.7666576776943706e-05
856300.0,2.7666576776943706e-05
856400.0,2.766657677694371e-05
856500.0,2.7666576776943717e-05
856600.0,2.766657677694372e-05
856700.0,2.7666576776943727e-05
856800.0,2.7666576776943727e-05
856900.0,2.766657677694373e-05
857000.0,2.7666576776943737e-05
857100.0,2.766657677694374e-05
857200.0,2.7666576776943747e-05
857300.0,2.7666576776943754e-05
857400.0,2.7666576776943757e-05
857500.0,2.7666576776943764e-05
857600.0,2.7666576776943764e-05
857700.0,2.7666576776943767e-05
857800.0,2.7666576776943774e-05
857900.0,2.7666576776943778e-05
858000.0,2.7666576776943784e-05
858100.0,2.7666576776943788e-05
858200.0,2.7666576776943788e-05
858300.0,2.7666576776943795e-05
858400.0,2.7666576776943798e-05
858500.0,2.7666576776943805e-05
858600.0,2.766657677694381e-05
858700.0,2.766657677694381e-05
858800.0,2.7666576776943815e-05
858900.0,2.766657677694382e-05
859000.0,2.7666576776943825e-05
859100.0,2.7666576776943832e-05
859200.0,2.7666576776943835e-05
859300.0,2.7666576776943835e-05
859400.0,2.7666576776943842e-05
859500.0,2.7666576776943845e-05
859600.0,2.7666576776943852e-05
859700.0,2.7666576776943856e-05
859800.0,2.7666576776943862e-05
859900.0,2.7666576776943866e-05
860000.0,2.7666576776943873e-05
860100.0,2.766657677694388e-05
860200.0,2.7666576776943883e-05
860300.0,2.766657677694389e-05
860400.0,2.7666576776943893e-05
860500.0,2.76665767769439e-05
860600.0,2.7666576776943903e-05
860700.0,2.766657677694391e-05
860800.0,2.7666576776943913e-05
860900.0,2.766657677694392e-05
861000.0,2.7666576776943923e-05
861100.0,2.766657677694393e-05
861200.0,2.7666576776943937e-05
861300.0,2.7666576776943937e-05
861400.0,2.766657677694394e-05
861500.0,2.7666576776943947e-05
861600.0,2.766657677694395e-05
861700.0,2.7666576776943957e-05
861800.0,2.766657677694396e-05
861900.0,2.7666576776943967e-05
862000.0,2.766657677694397e-05
862100.0,2.7666576776943978e-05
862200.0,2.766657677694398e-05
862300.0,2.7666576776943988e-05
862400.0,2.7666576776943994e-05
862500.0,2.7666576776943998e-05
862600.0,2.7666576776944005e-05
862700.0,2.7666576776944008e-05
862800.0,2.7666576776944015e-05
862900.0,2.7666576776944018e-05
863000.0,2.7666576776944018e-05
863100.0,2.7666576776944025e-05
863200.0,2.766657677694403e-05
863300.0,2.7666576776944035e-05
863400.0,2.766657677694404e-05
863500.0,2.7666576776944045e-05
863600.0,2.766657677694405e-05
863700.0,2.7666576776944055e-05
863800.0,2.7666576776944062e-05
863900.0,2.7666576776944066e-05
864000.0,2.7666576776944072e-05
864100.0,2.7666576776944076e-05
864200.0,2.7666576776944083e-05
864300.0,2.7666576776944086e-05
864400.0,2.7666576776944093e-05
864500.0,2.7666576776944096e-05
864600.0,2.7666576776944103e-05
864700.0,2.7666576776944106e-05
864800.0,2.7666576776944113e-05
864900.0,2.7666576776944113e-05
865000.0,2.766657677694412e-05
865100.0,2.7666576776944123e-05
865200.0,2.7666576776944123e-05
865300.0,2.766657677694413e-05
865400.0,2.7666576776944133e-05
865500.0,2.766657677694414e-05
865600.0,2.7666576776944144e-05
865700.0,2.766657677694415e-05
865800.0,2.7666576776944154e-05
865900.0,2.766657677694416e-05
866000.0,2.7666576776944164e-05
866100.0,2.7666576776944164e-05
866200.0,2.766657677694417e-05
866300.0,2.7666576776944177e-05
866400.0,2.766657677694418e-05
866500.0,2.7666576776944188e-05
866600.0,2.7666576776944188e-05
866700.0,2.766657677694419e-05
866800.0,2.7666576776944198e-05
866900.0,2.76665767769442e-05
867000.0,2.7666576776944208e-05
867100.0,2.766657677694421e-05
867200.0,2.7666576776944218e-05
867300.0,2.766657677694422e-05
867400.0,2.766657677694422e-05
867500.0,2.7666576776944228e-05
867600.0,2.766657677694423e-05
867700.0,2.766657677694424e-05
867800.0,2.7666576776944245e-05
867900.0,2.7666576776944245e-05
868000.0,2.766657677694425e-05
868100.0,2.766657677694425e-05
868200.0,2.7666576776944255e-05
868300.0,2.766657677694426e-05
868400.0,2.7666576776944266e-05
868500.0,2.766657677694427e-05
868600.0,2.7666576776944276e-05
868700.0,2.766657677694428e-05
868800.0,2.7666576776944286e-05
868900.0,2.766657677694429e-05
869000.0,2.7666576776944296e-05
869100.0,2.7666576776944296e-05
869200.0,2.7666576776944303e-05
869300.0,2.7666576776944306e-05
869400.0,2.7666576776944313e-05
869500.0,2.7666576776944316e-05
869600.0,2.7666576776944323e-05
869700.0,2.7666576776944323e-05
869800.0,2.7666576776944327e-05
869900.0,2.7666576776944333e-05
870000.0,2.7666576776944333e-05
870100.0,2.7666576776944337e-05
870200.0,2.7666576776944343e-05
870300.0,2.7666576776944347e-05
870400.0,2.7666576776944347e-05
870500.0,2.7666576776944354e-05
870600.0,2.766657677694436e-05
870700.0,2.7666576776944364e-05
870800.0,2.766657677694437e-05
870900.0,2.7666576776944374e-05
871000.0,2.766657677694438e-05
871100.0,2.7666576776944384e-05
871200.0,2.766657677694439e-05
871300.0,2.7666576776944394e-05
871400.0,2.76665767769444e-05
871500.0,2.7666576776944404e-05
871600.0,2.766657677694441e-05
871700.0,2.7666576776944415e-05
871800.0,2.766657677694442e-05
871900.0,2.7666576776944428e-05
872000.0,2.766657677694443e-05
872100.0,2.766657677694443e-05
872200.0,2.766657677694444e-05
872300.0,2.7666576776944442e-05
872400.0,2.766657677694445e-05
872500.0,2.7666576776944452e-05
872600.0,2.7666576776944452e-05
872700.0,2.766657677694446e-05
872800.0,2.7666576776944462e-05
872900.0,2.766657677694447e-05
873000.0,2.7666576776944472e-05
873100.0,2.766657677694448e-05
873200.0,2.766657677694448e-05
873300.0,2.7666576776944486e-05
873400.0,2.766657677694449e-05
873500.0,2.7666576776944496e-05
873600.0,2.7666576776944496e-05
873700.0,2.76665767769445e-05
873800.0,2.7666576776944506e-05
873900.0,2.7666576776944506e-05
874000.0,2.766657677694451e-05
874100.0,2.7666576776944516e-05
874200.0,2.766657677694452e-05
874300.0,2.766657677694452e-05
874400.0,2.7666576776944526e-05
874500.0,2.766657677694453e-05
874600.0,2.7666576776944537e-05
874700.0,2.7666576776944543e-05
874800.0,2.7666576776944543e-05
874900.0,2.7666576776944547e-05
875000.0,2.7666576776944554e-05
875100.0,2.7666576776944557e-05
875200.0,2.7666576776944564e-05
875300.0,2.7666576776944567e-05
875400.0,2.7666576776944574e-05
875500.0,2.7666576776944574e-05
875600.0,2.7666576776944577e-05
875700.0,2.7666576776944584e-05
875800.0,2.7666576776944587e-05
875900.0,2.7666576776944594e-05
876000.0,2.76665767769446e-05
876100.0,2.7666576776944604e-05
876200.0,2.766657677694461e-05
876300.0,2.7666576776944615e-05
876400.0,2.766657677694462e-05
876500.0,2.7666576776944625e-05
876600.0,2.7666576776944625e-05
876700.0,2.766657677694463e-05
876800.0,2.7666576776944635e-05
876900.0,2.766657677694464e-05
877000.0,2.766657677694464e-05
877100.0,2.7666576776944645e-05
877200.0,2.7666576776944652e-05
877300.0,2.7666576776944655e-05
877400.0,2.7666576776944662e-05
877500.0,2.766657677694467e-05
877600.0,2.7666576776944672e-05
877700.0,2.766657677694468e-05
877800.0,2.7666576776944682e-05
877900.0,2.766657677694469e-05
878000.0,2.7666576776944692e-05
878100.0,2.76665767769447e-05
878200.0,2.7666576776944703e-05
878300.0,2.766657677694471e-05
878400.0,2.7666576776944713e-05
878500.0,2.766657677694472e-05
878600.0,2.7666576776944726e-05
878700.0,2.766657677694473e-05
878800.0,2.7666576776944736e-05
878900.0,2.766657677694474e-05
879000.0,2.7666576776944747e-05
879100.0,2.766657677694475e-05
879200.0,2.7666576776944757e-05
879300.0,2.766657677694476e-05
879400.0,2.7666576776944767e-05
879500.0,2.766657677694477e-05
879600.0,2.7666576776944777e-05
879700.0,2.7666576776944784e-05
879800.0,2.7666576776944787e-05
879900.0,2.7666576776944794e-05
880000.0,2.7666576776944797e-05
880100.0,2.7666576776944797e-05
880200.0,2.7666576776944804e-05
880300.0,2.7666576776944808e-05
880400.0,2.7666576776944808e-05
