M.D_b.Fdiss Time [a],M.D_b.Fdiss Fdiss [mol/kg]
93000.0,47999993698090.11
93100.0,47999993792909.64
93200.0,47999993886302.53
93300.0,47999993978290.195
93400.0,47999994068893.84
93500.0,47999994158134.2
93600.0,47999994246031.81
93700.0,47999994332606.91
93800.0,47999994417879.37
93900.0,47999994501868.95
94000.0,47999994584594.73
94100.0,47999994666075.766
94200.0,47999994746330.87
94300.0,47999994825378.33
94400.0,47999994903236.5
94500.0,47999994979923.12
94600.0,47999995055455.984
94700.0,47999995129852.34
94800.0,47999995203129.3
94900.0,47999995275303.766
95000.0,47999995346392.27
95100.0,47999995416411.19
95200.0,47999995485376.51
95300.0,47999995553304.33
95400.0,47999995620209.9
95500.0,47999995686108.91
95600.0,47999995751016.445
95700.0,47999995814947.336
95800.0,47999995877916.31
95900.0,47999995939937.766
96000.0,47999996001026.09
96100.0,47999996061195.25
96200.0,47999996120459.125
96300.0,47999996178831.28
96400.0,47999996236325.17
96500.0,47999996292954.125
96600.0,47999996348730.875
96700.0,47999996403668.32
96800.0,47999996457779.32
96900.0,47999996511076.18
97000.0,47999996563571.06
97100.0,47999996615276.13
97200.0,47999996666203.2
97300.0,47999996716363.91
97400.0,47999996765769.984
97500.0,47999996814432.69
97600.0,47999996862363.24
97700.0,47999996909572.66
97800.0,47999996956071.75
97900.0,47999997001871.18
98000.0,47999997046981.484
98100.0,47999997091413.09
98200.0,47999997135176.125
98300.0,47999997178280.74
98400.0,47999997220736.86
98500.0,47999997262554.125
98600.0,47999997303742.1
98700.0,47999997344310.5
98800.0,47999997384268.39
98900.0,47999997423625.09
99000.0,47999997462389.59
99100.0,47999997500570.82
99200.0,47999997538177.68
99300.0,47999997575218.61
99400.0,47999997611702.21
99500.0,47999997647636.91
99600.0,47999997683030.94
99700.0,47999997717892.42
99800.0,47999997752229.38
99900.0,47999997786049.69
100000.0,47999997819361.06
100100.0,47999997852171.22
100200.0,47999997884487.84
100300.0,47999997916318.12
100400.0,47999997947669.53
100500.0,47999997978549.27
100600.0,47999998008964.46
100700.0,47999998038921.85
100800.0,47999998068428.53
100900.0,47999998097491.27
101000.0,47999998126116.69
101100.0,47999998154311.48
101200.0,47999998182082.0
101300.0,47999998209434.65
101400.0,47999998236375.84
101500.0,47999998262911.56
101600.0,47999998289048.08
101700.0,47999998314791.37
101800.0,47999998340147.19
101900.0,47999998365121.58
102000.0,47999998389720.266
102100.0,47999998413948.78
102200.0,47999998437812.82
102300.0,47999998461317.8
102400.0,47999998484468.95
102500.0,47999998507271.88
102600.0,47999998529731.81
102700.0,47999998551853.74
102800.0,47999998573642.84
102900.0,47999998595104.06
103000.0,47999998616242.375
103100.0,47999998637062.53
103200.0,47999998657569.56
103300.0,47999998677767.93
103400.0,47999998697662.45
103500.0,47999998717257.59
103600.0,47999998736557.984
103700.0,47999998755567.84
103800.0,47999998774291.79
103900.0,47999998792734.04
104000.0,47999998810898.83
104100.0,47999998828790.125
104200.0,47999998846412.266
104300.0,47999998863769.22
104400.0,47999998880865.14
104500.0,47999998897703.81
104600.0,47999998914289.266
104700.0,47999998930625.16
104800.0,47999998946715.19
104900.0,47999998962562.98
105000.0,47999998978172.36
105100.0,47999998993546.95
105200.0,47999999008690.25
105300.0,47999999023605.65
105400.0,47999999038296.555
105500.0,47999999052766.445
105600.0,47999999067018.766
105700.0,47999999081056.54
105800.0,47999999094883.164
105900.0,47999999108501.64
106000.0,47999999121915.125
106100.0,47999999135126.91
106200.0,47999999148139.86
