M.D_b.zcc Time [a],M.D_b.zcc zcc [mol/kg]
186500.0,4812
186600.0,4812
186700.0,4812
186800.0,4812
186900.0,4812
187000.0,4812
187100.0,4812
187200.0,4812
187300.0,4812
187400.0,4812
187500.0,4812
187600.0,4812
187700.0,4812
187800.0,4812
187900.0,4812
188000.0,4812
188100.0,4812
188200.0,4812
188300.0,4812
188400.0,4812
188500.0,4812
188600.0,4812
188700.0,4812
188800.0,4812
188900.0,4812
189000.0,4812
189100.0,4812
189200.0,4812
189300.0,4812
189400.0,4812
189500.0,4812
189600.0,4812
189700.0,4812
189800.0,4812
189900.0,4812
190000.0,4812
190100.0,4812
190200.0,4812
190300.0,4812
190400.0,4812
190500.0,4812
190600.0,4812
190700.0,4812
190800.0,4812
190900.0,4812
191000.0,4812
191100.0,4812
191200.0,4812
191300.0,4812
191400.0,4812
191500.0,4812
191600.0,4812
191700.0,4812
191800.0,4812
191900.0,4812
192000.0,4812
192100.0,4812
192200.0,4812
192300.0,4812
192400.0,4812
192500.0,4812
192600.0,4812
192700.0,4812
192800.0,4812
192900.0,4812
193000.0,4812
193100.0,4812
193200.0,4812
193300.0,4812
193400.0,4812
193500.0,4812
193600.0,4812
193700.0,4812
193800.0,4812
193900.0,4812
194000.0,4812
194100.0,4812
194200.0,4812
194300.0,4812
194400.0,4812
194500.0,4812
194600.0,4812
194700.0,4812
194800.0,4812
194900.0,4812
195000.0,4812
195100.0,4812
195200.0,4812
195300.0,4812
195400.0,4812
195500.0,4812
195600.0,4812
195700.0,4812
195800.0,4812
195900.0,4812
196000.0,4812
196100.0,4812
196200.0,4812
196300.0,4812
196400.0,4812
196500.0,4812
196600.0,4812
196700.0,4812
196800.0,4812
196900.0,4812
197000.0,4812
197100.0,4812
197200.0,4812
197300.0,4812
197400.0,4812
197500.0,4812
197600.0,4812
197700.0,4812
197800.0,4812
197900.0,4812
198000.0,4812
198100.0,4812
198200.0,4812
198300.0,4812
198400.0,4812
198500.0,4812
198600.0,4812
198700.0,4812
198800.0,4812
198900.0,4812
199000.0,4812
199100.0,4812
199200.0,4812
199300.0,4812
199400.0,4812
199500.0,4812
199600.0,4812
199700.0,4812
199800.0,4812
199900.0,4812
200000.0,4812
200100.0,4812
200200.0,4812
200300.0,4812
200400.0,4812
200500.0,4812
200600.0,4812
200700.0,4812
200800.0,4812
200900.0,4812
201000.0,4812
201100.0,4812
201200.0,4812
201300.0,4812
201400.0,4812
201500.0,4812
201600.0,4812
201700.0,4812
201800.0,4812
201900.0,4812
202000.0,4812
202100.0,4812
202200.0,4812
202300.0,4812
202400.0,4812
202500.0,4812
202600.0,4812
202700.0,4812
202800.0,4812
202900.0,4812
203000.0,4812
203100.0,4812
203200.0,4812
203300.0,4812
203400.0,4812
203500.0,4812
203600.0,4812
203700.0,4812
203800.0,4812
203900.0,4812
204000.0,4812
204100.0,4812
204200.0,4812
204300.0,4812
204400.0,4812
204500.0,4812
204600.0,4812
204700.0,4812
204800.0,4812
204900.0,4812
205000.0,4812
205100.0,4812
205200.0,4812
205300.0,4812
205400.0,4812
205500.0,4812
205600.0,4812
205700.0,4812
205800.0,4812
205900.0,4812
206000.0,4812
206100.0,4812
206200.0,4812
206300.0,4812
206400.0,4812
206500.0,4812
206600.0,4812
206700.0,4812
206800.0,4812
206900.0,4812
207000.0,4812
207100.0,4812
207200.0,4812
207300.0,4812
207400.0,4812
207500.0,4812
207600.0,4812
207700.0,4812
207800.0,4812
207900.0,4812
208000.0,4812
208100.0,4812
208200.0,4812
208300.0,4812
208400.0,4812
208500.0,4812
208600.0,4812
208700.0,4812
208800.0,4812
208900.0,4812
209000.0,4812
209100.0,4812
209200.0,4812
209300.0,4812
209400.0,4812
209500.0,4812
209600.0,4812
209700.0,4812
209800.0,4812
209900.0,4812
210000.0,4812
210100.0,4812
210200.0,4812
210300.0,4812
210400.0,4812
210500.0,4812
210600.0,4812
210700.0,4812
210800.0,4812
210900.0,4812
211000.0,4812
211100.0,4812
211200.0,4812
211300.0,4812
211400.0,4812
211500.0,4812
211600.0,4812
211700.0,4812
211800.0,4812
211900.0,4812
212000.0,4812
212100.0,4812
212200.0,4812
212300.0,4812
212400.0,4812
212500.0,4812
212600.0,4812
212700.0,4812
212800.0,4812
212900.0,4812
213000.0,4812
213100.0,4812
213200.0,4812
213300.0,4812
213400.0,4812
213500.0,4812
213600.0,4812
213700.0,4812
213800.0,4812
213900.0,4812
214000.0,4812
214100.0,4812
214200.0,4812
214300.0,4812
214400.0,4812
214500.0,4812
214600.0,4812
214700.0,4812
214800.0,4812
214900.0,4812
215000.0,4812
215100.0,4812
215200.0,4812
215300.0,4812
215400.0,4812
215500.0,4812
215600.0,4812
215700.0,4812
215800.0,4812
215900.0,4812
216000.0,4812
216100.0,4812
216200.0,4812
216300.0,4812
216400.0,4812
216500.0,4812
216600.0,4812
216700.0,4812
216800.0,4812
216900.0,4812
217000.0,4812
217100.0,4812
217200.0,4812
217300.0,4812
217400.0,4812
217500.0,4812
217600.0,4812
217700.0,4812
217800.0,4812
217900.0,4812
218000.0,4812
218100.0,4812
218200.0,4812
218300.0,4812
218400.0,4812
218500.0,4812
218600.0,4812
218700.0,4812
218800.0,4812
218900.0,4812
219000.0,4812
219100.0,4812
219200.0,4812
219300.0,4812
219400.0,4812
219500.0,4812
219600.0,4812
219700.0,4812
219800.0,4812
219900.0,4812
220000.0,4812
220100.0,4812
220200.0,4812
220300.0,4812
220400.0,4812
220500.0,4812
220600.0,4812
220700.0,4812
220800.0,4812
220900.0,4812
221000.0,4812
221100.0,4812
221200.0,4812
221300.0,4812
221400.0,4812
221500.0,4812
221600.0,4812
221700.0,4812
221800.0,4812
221900.0,4812
222000.0,4812
222100.0,4812
222200.0,4812
222300.0,4812
222400.0,4812
222500.0,4812
222600.0,4812
222700.0,4812
222800.0,4812
222900.0,4812
223000.0,4812
223100.0,4812
223200.0,4812
223300.0,4812
223400.0,4812
223500.0,4812
223600.0,4812
223700.0,4812
223800.0,4812
223900.0,4812
224000.0,4812
224100.0,4812
224200.0,4812
224300.0,4812
224400.0,4812
224500.0,4812
224600.0,4812
224700.0,4812
224800.0,4812
224900.0,4812
225000.0,4812
225100.0,4812
225200.0,4812
225300.0,4812
225400.0,4812
225500.0,4812
225600.0,4812
225700.0,4812
225800.0,4812
225900.0,4812
226000.0,4812
226100.0,4812
226200.0,4812
226300.0,4812
226400.0,4812
226500.0,4812
226600.0,4812
226700.0,4812
226800.0,4812
226900.0,4812
227000.0,4812
227100.0,4812
227200.0,4812
227300.0,4812
227400.0,4812
227500.0,4812
227600.0,4812
227700.0,4812
227800.0,4812
227900.0,4812
228000.0,4812
228100.0,4812
228200.0,4812
228300.0,4812
228400.0,4812
228500.0,4812
228600.0,4812
228700.0,4812
228800.0,4812
228900.0,4812
229000.0,4812
229100.0,4812
229200.0,4812
229300.0,4812
229400.0,4812
229500.0,4812
229600.0,4812
229700.0,4812
229800.0,4812
229900.0,4812
230000.0,4812
230100.0,4812
230200.0,4812
230300.0,4812
230400.0,4812
230500.0,4812
230600.0,4812
230700.0,4812
230800.0,4812
230900.0,4812
231000.0,4812
231100.0,4812
231200.0,4812
231300.0,4812
231400.0,4812
231500.0,4812
231600.0,4812
231700.0,4812
231800.0,4812
231900.0,4812
232000.0,4812
232100.0,4812
232200.0,4812
232300.0,4812
232400.0,4812
232500.0,4812
232600.0,4812
232700.0,4812
232800.0,4812
